NetworkFilename,MouseID,highscore,NetworkFilename_corrected,Dosereal,Strain,Sex,Score,seizure,AM,MS,AvgScore,circle_num_bouts,f2_distance_cm,f2_center_time_secs,f2_periphery_time_secs,f2_corner_time_secs,f2_center_distance_cm,f2_periphery_distance_cm,f2_corner_distance_cm,f2_grooming_number_bouts,f2_grooming_duration_secs,freeze_avg_bout_lens,freeze_num_bouts,freeze_first_bout,freeze_time_sec,leg_splaying_avg_bout_lens,leg_splaying_num_bouts,leg_splaying_first_bout,leg_splaying_time_sec,side_seizure_avg_bout_lens,side_seizure_num_bouts,side_seizure_first_bout,side_seizure_time_sec,straub_tail_avg_bout_lens,straub_tail_num_bouts,straub_tail_first_bout,straub_tail_time_sec,wild_jumping_avg_bout_lens,wild_jumping_num_bouts,wild_jumping_first_bout,wild_jumping_time_sec,freeze_behavior_proportion,straub_tail_behavior_proportion,leg_splaying_behavior_proportion,side_seizure_behavior_proportion,wild_jumping_behavior_proportion
007682_B6J_M_60mg-kg_.avi,007682,7,007682_B6J_M_60mg-kg_.avi,60,B6J,M,4--7,High,7,7,7,0,136.19935,0,60.0331,52.68315,0,136.19935,81.98975,0,0,3.1,1,136.133333333333,3.1,3.57777777777778,9,114.2,32.2,3.34444444444444,3,177.6,10.0333333333333,0.5,22,36.9333333333333,11,2.31666666666667,2,176.566666666667,4.63333333333333,0.023919753086419755,0.0707092350546388,0.20698521534176087,0.06449539318620062,0.029783586886650868
007701_B6NJ_F_60mg_kg_.avi,007701,6,007701_B6NJ_F_60mg_kg_.avi,60,B6NJ,F,"4, 6",High,6,6,6,0,242.5305,0,60.0331,51.5832,0,242.5305,139.457,0,0,5.83333333333333,2,134.7,11.6666666666667,13.1444444444444,3,164.166666666667,39.4333333333333,2,2,156.533333333333,4,0.766666666666667,1,155.433333333333,0.766666666666667,NA,0,0,0,0.09727626459144025,0.006306553331505332,0.3243761996161217,0.03290375651220172,0
007702_B6NJ_F_60mg_kg_.avi,007702,6,007702_B6NJ_F_60mg_kg_.avi,60,B6NJ,F,"4, 6",High,6,6,6,0,344.1995,2.5333265,57.4998,38.1499,38.3948685,305.8045,133.53205,0,0,NA,0,0,0,14.4,3,76.7333333333333,43.2,4.2,1,79.3666666666667,4.2,0.455555555555556,3,78.0333333333333,1.36666666666667,NA,0,0,0,0,0.01304901336728206,0.41247612985359783,0.04010184595798867,0
007703_B6NJ_F_60mg_kg_.avi,007703,6,007703_B6NJ_F_60mg_kg_.avi,60,B6NJ,F,6,High,6,7,6,0,370.6205,0.05,59.9831,30.28325,0.84733,369.7735,155.6964,0,0,6.31666666666667,4,230.933333333333,25.2666666666667,11.7083333333333,4,56.6666666666667,46.8333333333333,4.43333333333333,1,190.566666666667,4.43333333333333,0.325,4,189.466666666667,1.3,NA,0,0,0,0.12231725028239468,0.006211180124223602,0.22379738770308966,0.02119184193753982,0
007704_B6NJ_F_60mg-kg_.avi,007704,6,007704_B6NJ_F_60mg-kg_.avi,60,B6NJ,F,"1, 6",High,6,6,6,0,372.8585,1.166665,58.86645,47.8165,7.7153,365.1435,188.545,0,0,4.16666666666667,1,570.8,4.16666666666667,2.69090909090909,11,540.266666666667,29.6,3.13333333333333,2,254.466666666667,6.26666666666667,0.166666666666667,2,96.4666666666667,0.333333333333333,NA,0,0,0,0.008232349841938895,6.436663233779597e-4,0.05715756951596289,0.012100926879505662,0
007705_B6NJ_F_60mg-kg_.avi,007705,6,007705_B6NJ_F_60mg-kg_.avi,60,B6NJ,F,"3, 6",High,6,5,6,0,445.687,5.56665,54.4665,34.06655,72.4395,373.2475,155.204,0,0,3.125,4,148.466666666667,12.5,2.42222222222222,9,158.633333333333,21.8,NA,0,0,0,0.308333333333333,4,99.6333333333333,1.23333333333333,NA,0,0,0,0.053304904051172705,0.005248226950354596,0.09276595744680852,0,0
007725_B6NJ_M_60mg-kg_.avi,007725,7,007725_B6NJ_M_60mg-kg_.avi,60,B6NJ,M,7,High,7,7,7,0,121.99645,0,60.0331,50.64985,0,121.99645,86.4434,0,0,NA,0,0,0,NA,0,76.1666666666667,0,NA,0,67.6666666666667,0,NA,0,66.9666666666667,0,NA,0,0,0,0,0,0,0,0
007726_B6NJ_M_60mg-kg_.avi,007726,7,007726_B6NJ_M_60mg-kg_.avi,60,B6NJ,M,7,High,7,7,7,0,176.97015,0.85,59.1831,40.5832,23.34135,153.62865,69.43355,0,0,NA,0,41.9666666666667,0,1.81666666666667,2,95.1666666666667,3.63333333333333,0.766666666666667,1,92.1,0.766666666666667,0.476190476190476,7,81.0333333333333,3.33333333333333,1.63333333333333,2,121.733333333333,3.26666666666667,0,0.05211047420531519,0.056800416883793566,0.011985409067222511,0.05106826472120899
007729_B6NJ_M_60mg-kg_.avi,007729,7,007729_B6NJ_M_60mg-kg_.avi,60,B6NJ,M,7,High,7,6,6,0,307.8505,4.099985,55.93315,38.06655,23.15855,284.692,117.58855,0,0,NA,0,0,0,1.87777777777778,3,94.8333333333333,5.63333333333333,1.12666666666667,5,92.5666666666667,5.63333333333333,0.419047619047619,7,92.0333333333333,2.93333333333333,0.7,1,92.1,0.7,0,0.022552537160430465,0.04331112250128126,0.04331112250128126,0.005381855458739094
007659_b6_F_80mg-kg_.avi,007659,6,007659_B6J_F_80mg-kg_.avi,80,B6J,F,"3, 6",High,6,7,6,0,322.5995,0.4166655,59.61645,29.2999,6.3475,316.252,126.62065,0,0,NA,0,0,0,1.20833333333333,4,118.066666666667,4.83333333333333,0.633333333333333,2,122.066666666667,1.26666666666667,0.339393939393939,11,91.3666666666667,3.73333333333333,NA,0,0,0,0,0.04966740576496667,0.06430155210643008,0.01685144124168518,0
007660_B6_F_80mg-kg_.avi,007660,7,007660_B6J_F_80mg-kg_.avi,80,B6J,F,"3, 7",High,7,6,6,0,479.4365,29.4999,30.53321,17.3666,87.83615,391.60045,141.8575,0,0,3.58888888888889,3,86.2666666666667,10.7666666666667,5.75,6,65.8333333333333,34.5,6.36666666666667,1,107.133333333333,6.36666666666667,0.423529411764706,17,64.9,7.2,NA,0,0,0,0.09850564196401372,0.06527651858567543,0.31278331822302813,0.05772136597159266,0
007661_B6_F_80mg-kg_.avi,007661,7,007661_B6J_F_80mg-kg_.avi,80,B6J,F,"6, 7",High,7,6,6,0,326.9351,0,60.0331,48.43315,0,326.9351,136.4491,0,0,3.3,1,88.5333333333333,3.3,7.51428571428571,7,65.3,52.6,NA,0,0,0,0.302777777777778,12,61.3666666666667,3.63333333333333,NA,0,0,0,0.03477344573234984,0.03812521860790483,0.5519412381951732,0,0
007662_B6_F_80mg-kg_called_7762.avi,007662,7,007662_B6J_F_80mg-kg_called_7762.avi,80,B6J,F,"3, 7",High,7,6,6,0,336.662,8.76665,51.2665,30.93325,34.3742,302.2875,130.7061,0,0,NA,0,0,0,1.80666666666667,5,123.3,9.03333333333333,5.23333333333333,1,139.6,5.23333333333333,0.533333333333333,18,104.666666666667,9.6,0.6,1,113.866666666667,0.6,0,0.0768409818569906,0.07230522945570987,0.0418890074706511,0.004802561366061913
007663_B6_F_80mg-kg_called_7763.avi,007663,7,007663_B6J_F_80mg-kg_called_7763.avi,80,B6J,F,"3, 7",High,7,6,6,0,285.8255,3.399987,56.63315,38.76655,34.258935,251.5665,116.682,0,0,NA,0,0,0,1.6,15,90.4,24,3.76666666666667,1,113.866666666667,3.76666666666667,0.360416666666667,16,56.0333333333333,5.76666666666667,NA,0,0,0,0,0.08353452438435548,0.34765813616610347,0.05456301303718018,0
007664_B6_F_80mg-kg_called_7764.avi,007664,7,007664_B6J_F_80mg-kg_called_7764.avi,80,B6J,F,"5, 7",High,7,6,6,0,730.519,1.79999,58.2332,39.1332,25.9174,704.602,293.07,0,0,4.2,1,126.2,4.2,1.72222222222222,3,21.0333333333333,5.16666666666667,1.33333333333333,1,119.633333333333,1.33333333333333,0.666666666666667,1,68.6666666666667,0.666666666666667,NA,0,0,0,0.0290925883167859,0.00455996352029184,0.03533971728226176,0.009119927040583653,0
